idx,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
178,40,10,400,10,70,40,100,12.1498499,6.4,53.28,800,130.1437567
179,40,40,400,10,70,40,100,12.1498499,14.8,53.28,800,520.5750267
180,10,10,700,10,70,40,100,13.82964058,4.3,53.28,2450,167.7215066
181,10,40,700,10,70,40,100,13.82964058,13.9,53.28,2450,670.8860263
182,40,10,700,10,70,40,100,13.82964058,7.6,53.28,2450,167.7215066
183,40,40,700,10,70,40,100,13.82964058,17.2,53.28,2450,670.8860263
184,10,10,1000,10,70,40,100,13.03376741,5,53.28,5000,178.1728019
185,10,40,1000,10,70,40,100,13.03376741,16.1,53.28,5000,712.6912075
186,40,10,1000,10,70,40,100,13.03376741,8.9,53.28,5000,178.1728019
187,40,40,1000,10,70,40,100,13.03376741,20,53.28,5000,712.6912075
188,10,10,1300,10,70,40,100,12.91106405,9.5,53.28,8450,180.8388274
189,10,40,1300,10,70,40,100,12.91106405,30.8,53.28,8450,723.3553095
190,40,10,1300,10,70,40,100,12.91106405,16.7,53.28,8450,180.8388274
191,40,40,1300,10,70,40,100,12.91106405,38,53.28,8450,723.3553095
192,10,10,400,10,100,10,100,11.6815053,3.5,51.12,800,120.0643963
193,10,40,400,10,100,10,100,11.6815053,11.3,51.12,800,480.2575851
194,40,10,400,10,100,10,100,11.6815053,6.2,51.12,800,120.0643963
195,40,40,400,10,100,10,100,11.6815053,14,51.12,800,480.2575851
196,10,10,700,10,100,10,100,13.47647632,4.3,51.12,2450,154.8175945
197,10,40,700,10,100,10,100,13.47647632,14.2,51.12,2450,619.2703779
198,40,10,700,10,100,10,100,13.47647632,7.3,51.12,2450,154.8175945
199,40,40,700,10,100,10,100,13.47647632,17.2,51.12,2450,619.2703779
200,10,10,1000,10,100,10,100,12.84199961,4.9,51.12,5000,164.5922346
201,10,40,1000,10,100,10,100,12.84199961,16,51.12,5000,658.3689385
202,40,10,1000,10,100,10,100,12.84199961,8.5,51.12,5000,164.5922346
203,40,40,1000,10,100,10,100,12.84199961,19.6,51.12,5000,658.3689385
204,10,10,1300,10,100,10,100,12.53073767,8.9,51.12,8450,167.1984855
205,10,40,1300,10,100,10,100,12.53073767,28.7,51.12,8450,668.7939422
206,40,10,1300,10,100,10,100,12.53073767,15.8,51.12,8450,167.1984855
207,40,40,1300,10,100,10,100,12.53073767,35.6,51.12,8450,668.7939422
208,10,10,400,70,10,10,100,9.996972265,3.5,51.12,800,117.8887197
209,10,40,400,70,10,10,100,9.996972265,11.6,51.12,800,471.5548786
210,40,10,400,70,10,10,100,9.996972265,5.9,51.12,800,117.8887197
211,40,40,400,70,10,10,100,9.996972265,14,51.12,800,471.5548786
212,10,10,700,70,10,10,100,12.03792092,4.1,51.12,2450,147.3005568
213,10,40,700,70,10,10,100,12.03792092,13.7,51.12,2450,589.2022273
214,40,10,700,70,10,10,100,12.03792092,6.8,51.12,2450,147.3005568
215,40,40,700,70,10,10,100,12.03792092,16.4,51.12,2450,589.2022273
216,10,10,1000,70,10,10,100,11.44260266,4.7,51.12,5000,155.8852748
217,10,40,1000,70,10,10,100,11.44260266,15.8,51.12,5000,623.5410992
218,40,10,1000,70,10,10,100,11.44260266,7.7,51.12,5000,155.8852748
219,40,40,1000,70,10,10,100,11.44260266,18.8,51.12,5000,623.5410992
220,10,10,1300,70,10,10,100,11.37112107,7.9,51.12,8450,158.1279945
221,10,40,1300,70,10,10,100,11.37112107,26.2,51.12,8450,632.5119779
222,40,10,1300,70,10,10,100,11.37112107,13.3,51.12,8450,158.1279945
223,40,40,1300,70,10,10,100,11.37112107,31.6,51.12,8450,632.5119779
224,10,10,400,40,10,70,100,12.11398075,3.8,57.6,800,150.7201868
225,10,40,400,40,10,70,100,12.11398075,11.9,57.6,800,602.8807473
226,40,10,400,40,10,70,100,12.11398075,7.1,57.6,800,150.7201868
227,40,40,400,40,10,70,100,12.11398075,15.2,57.6,800,602.8807473
228,10,10,700,40,10,70,100,14.05635629,4.7,57.6,2450,196.1440195
229,10,40,700,40,10,70,100,14.05635629,14.9,57.6,2450,784.5760782
230,40,10,700,40,10,70,100,14.05635629,8.6,57.6,2450,196.1440195
231,40,40,700,40,10,70,100,14.05635629,18.8,57.6,2450,784.5760782
232,10,10,1000,40,10,70,100,13.28459496,5.3,57.6,5000,208.9248841
233,10,40,1000,40,10,70,100,13.28459496,16.4,57.6,5000,835.6995362
234,40,10,1000,40,10,70,100,13.28459496,10.1,57.6,5000,208.9248841
235,40,40,1000,40,10,70,100,13.28459496,21.2,57.6,5000,835.6995362
236,10,10,1300,40,10,70,100,12.95744908,9.2,57.6,8450,212.5478463
237,10,40,1300,40,10,70,100,12.95744908,28.7,57.6,8450,850.1913853
238,40,10,1300,40,10,70,100,12.95744908,17.3,57.6,8450,212.5478463
239,40,40,1300,40,10,70,100,12.95744908,36.8,57.6,8450,850.1913853
240,10,10,400,40,40,40,100,11.70931162,3.7,55.44,800,139.1453441
241,10,40,400,40,40,40,100,11.70931162,11.5,55.44,800,556.5813766
242,40,10,400,40,40,40,100,11.70931162,7,55.44,800,139.1453441
243,40,40,400,40,40,40,100,11.70931162,14.8,55.44,800,556.5813766
244,10,10,700,40,40,40,100,13.58611904,4.4,55.44,2450,180.4955005
245,10,40,700,40,40,40,100,13.58611904,14,55.44,2450,721.982002
246,40,10,700,40,40,40,100,13.58611904,8,55.44,2450,180.4955005
247,40,40,700,40,40,40,100,13.58611904,17.6,55.44,2450,721.982002
248,10,10,1000,40,40,40,100,12.60457524,5.3,55.44,5000,192.2984111
249,10,40,1000,40,40,40,100,12.60457524,16.7,55.44,5000,769.1936446
250,40,10,1000,40,40,40,100,12.60457524,9.8,55.44,5000,192.2984111
251,40,40,1000,40,40,40,100,12.60457524,21.2,55.44,5000,769.1936446
252,10,10,1300,40,40,40,100,12.67839789,9.8,55.44,8450,194.5211979
253,10,40,1300,40,40,40,100,12.67839789,31.4,55.44,8450,778.0847914
254,40,10,1300,40,40,40,100,12.67839789,17.6,55.44,8450,194.5211979
255,40,40,1300,40,40,40,100,12.67839789,39.2,55.44,8450,778.0847914
256,10,10,400,40,70,10,100,11.35055536,3.7,53.28,800,127.633846
257,10,40,400,40,70,10,100,11.35055536,11.8,53.28,800,510.5353842
258,40,10,400,40,70,10,100,11.35055536,6.7,53.28,800,127.633846
259,40,40,400,40,70,10,100,11.35055536,14.8,53.28,800,510.5353842
260,10,10,700,40,70,10,100,13.47831426,4.3,53.28,2450,166.1168404
261,10,40,700,40,70,10,100,13.47831426,13.9,53.28,2450,664.4673614
262,40,10,700,40,70,10,100,13.47831426,7.6,53.28,2450,166.1168404
263,40,40,700,40,70,10,100,13.47831426,17.2,53.28,2450,664.4673614
264,10,10,1000,40,70,10,100,12.77339226,4.9,53.28,5000,176.8792805
265,10,40,1000,40,70,10,100,12.77339226,15.7,53.28,5000,707.5171221
266,40,10,1000,40,70,10,100,12.77339226,8.8,53.28,5000,176.8792805
267,40,40,1000,40,70,10,100,12.77339226,19.6,53.28,5000,707.5171221
268,10,10,1300,40,70,10,100,12.759644,9.1,53.28,8450,179.3306744
269,10,40,1300,40,70,10,100,12.759644,29.2,53.28,8450,717.3226977
270,40,10,1300,40,70,10,100,12.759644,16.3,53.28,8450,179.3306744
271,40,40,1300,40,70,10,100,12.759644,36.4,53.28,8450,717.3226977
272,10,10,400,10,40,100,100,12.69037575,4,61.92,800,159.5100505
273,10,40,400,10,40,100,100,12.69037575,11.8,61.92,800,638.040202
274,40,10,400,10,40,100,100,12.69037575,8.2,61.92,800,159.5100505
275,40,40,400,10,40,100,100,12.69037575,16,61.92,800,638.040202
276,10,10,700,10,40,100,100,15.288934,4.9,61.92,2450,230.2162992
277,10,40,700,10,40,100,100,15.288934,14.8,61.92,2450,920.865197
278,40,10,700,10,40,100,100,15.288934,9.7,61.92,2450,230.2162992
279,40,40,700,10,40,100,100,15.288934,19.6,61.92,2450,920.865197
280,10,10,1000,10,40,100,100,14.31278336,5.8,61.92,5000,246.8819632
281,10,40,1000,10,40,100,100,14.31278336,17.2,61.92,5000,987.5278528
282,40,10,1000,10,40,100,100,14.31278336,11.8,61.92,5000,246.8819632
283,40,40,1000,10,40,100,100,14.31278336,23.2,61.92,5000,987.5278528
284,10,10,1300,10,40,100,100,14.02994954,10.3,61.92,8450,251.3313569
285,10,40,1300,10,40,100,100,14.02994954,29.2,61.92,8450,1005.325427
286,40,10,1300,10,40,100,100,14.02994954,22.3,61.92,8450,251.3313569
287,40,40,1300,10,40,100,100,14.02994954,41.2,61.92,8450,1005.325427
288,10,10,400,10,70,70,100,12.2960754,3.9,59.76,800,148.3282081
289,10,40,400,10,70,70,100,12.2960754,11.7,59.76,800,593.3128323
290,40,10,400,10,70,70,100,12.2960754,7.8,59.76,800,148.3282081
291,40,40,400,10,70,70,100,12.2960754,15.6,59.76,800,593.3128323
292,10,10,700,10,70,70,100,14.74782394,4.8,59.76,2450,213.9079639
293,10,40,700,10,70,70,100,14.74782394,14.7,59.76,2450,855.6318555
294,40,10,700,10,70,70,100,14.74782394,9.3,59.76,2450,213.9079639
295,40,40,700,10,70,70,100,14.74782394,19.2,59.76,2450,855.6318555
296,10,10,1000,10,70,70,100,13.93090342,5.6,59.76,5000,229.2542666
297,10,40,1000,10,70,70,100,13.93090342,16.7,59.76,5000,917.0170665
298,40,10,1000,10,70,70,100,13.93090342,11.3,59.76,5000,229.2542666
299,40,40,1000,10,70,70,100,13.93090342,22.4,59.76,5000,917.0170665
300,10,10,1300,10,70,70,100,13.74734521,9.9,59.76,8450,233.0429816
301,10,40,1300,10,70,70,100,13.74734521,29.1,59.76,8450,932.1719264
302,40,10,1300,10,70,70,100,13.74734521,20.4,59.76,8450,233.0429816
303,40,40,1300,10,70,70,100,13.74734521,39.6,59.76,8450,932.1719264
304,10,10,400,10,100,40,100,11.68504382,3.8,57.6,800,136.7424453
305,10,40,400,10,100,40,100,11.68504382,11.6,57.6,800,546.969781
306,40,10,400,10,100,40,100,11.68504382,7.4,57.6,800,136.7424453
