Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
10,10,1000,10,70,10,100,11.27140289,17,46.8,5000,128.1548074
10,20,1000,10,70,10,100,11.27140289,7.4,46.8,5000,256.3096147
10,40,1000,10,70,10,100,11.27140289,11.2,46.8,5000,512.6192295
20,10,1000,10,70,10,100,11.27140289,18.8,46.8,5000,128.1548074
20,20,1000,10,70,10,100,11.27140289,4.7,46.8,5000,256.3096147
20,40,1000,10,70,10,100,11.27140289,8.5,46.8,5000,512.6192295
40,10,1000,10,70,10,100,11.27140289,16.1,46.8,5000,128.1548074
40,20,1000,10,70,10,100,11.27140289,5.6,46.8,5000,256.3096147
40,40,1000,10,70,10,100,11.27140289,9.4,46.8,5000,512.6192295
10,10,1300,10,70,10,100,11.21521602,8.8,46.8,8450,129.9086654
10,20,1300,10,70,10,100,11.21521602,15.8,46.8,8450,259.8173308
10,40,1300,10,70,10,100,11.21521602,29.8,46.8,8450,519.6346617
20,10,1300,10,70,10,100,11.21521602,10.6,46.8,8450,129.9086654
20,20,1300,10,70,10,100,11.21521602,17.6,46.8,8450,259.8173308
20,40,1300,10,70,10,100,11.21521602,31.6,46.8,8450,519.6346617
40,10,1300,10,70,10,100,11.21521602,14.2,46.8,8450,129.9086654
40,20,1300,10,70,10,100,11.21521602,21.2,46.8,8450,259.8173308
40,40,1300,10,70,10,100,11.21521602,35.2,46.8,8450,519.6346617
10,10,400,40,10,40,100,10.33676675,6.8,51.12,800,119.0346367
10,20,400,40,10,40,100,10.33676675,12,51.12,800,238.0692733
10,40,400,40,10,40,100,10.33676675,5.8,51.12,800,476.1385467
20,10,400,40,10,40,100,10.33676675,8.4,51.12,800,119.0346367
20,20,400,40,10,40,100,10.33676675,13.6,51.12,800,238.0692733
20,40,400,40,10,40,100,10.33676675,3.4,51.12,800,476.1385467
40,10,400,40,10,40,100,10.33676675,6,51.12,800,119.0346367
40,20,400,40,10,40,100,10.33676675,11.2,51.12,800,238.0692733
40,40,400,40,10,40,100,10.33676675,4.2,51.12,800,476.1385467
10,10,700,40,10,40,100,11.95077169,16.4,51.12,2450,147.4305521
10,20,700,40,10,40,100,11.95077169,4.1,51.12,2450,294.8611041
10,40,700,40,10,40,100,11.95077169,7.3,51.12,2450,589.7222082
20,10,700,40,10,40,100,11.95077169,13.7,51.12,2450,147.4305521
20,20,700,40,10,40,100,11.95077169,5,51.12,2450,294.8611041
20,40,700,40,10,40,100,11.95077169,8.2,51.12,2450,589.7222082
40,10,700,40,10,40,100,11.95077169,14.6,51.12,2450,147.4305521
40,20,700,40,10,40,100,11.95077169,6.8,51.12,2450,294.8611041
40,40,700,40,10,40,100,11.95077169,10,51.12,2450,589.7222082
10,10,1000,40,10,40,100,11.41566615,5.9,51.12,5000,155.9860958
10,20,1000,40,10,40,100,11.41566615,9.6,51.12,5000,311.9721916
10,40,1000,40,10,40,100,11.41566615,17,51.12,5000,623.9443832
20,10,1000,40,10,40,100,11.41566615,8.1,51.12,5000,155.9860958
20,20,1000,40,10,40,100,11.41566615,11.8,51.12,5000,311.9721916
20,40,1000,40,10,40,100,11.41566615,19.2,51.12,5000,623.9443832
40,10,1000,40,10,40,100,11.41566615,4.8,51.12,5000,155.9860958
40,20,1000,40,10,40,100,11.41566615,8.5,51.12,5000,311.9721916
40,40,1000,40,10,40,100,11.41566615,15.9,51.12,5000,623.9443832
10,10,1300,40,10,40,100,11.49777238,21.4,51.12,8450,158.021872
10,20,1300,40,10,40,100,11.49777238,34,51.12,8450,316.0437439
10,40,1300,40,10,40,100,11.49777238,8.5,51.12,8450,632.0874879
20,10,1300,40,10,40,100,11.49777238,14.8,51.12,8450,158.021872
20,20,1300,40,10,40,100,11.49777238,27.4,51.12,8450,316.0437439
20,40,1300,40,10,40,100,11.49777238,10.7,51.12,8450,632.0874879
40,10,1300,40,10,40,100,11.49777238,17,51.12,8450,158.021872
40,20,1300,40,10,40,100,11.49777238,29.6,51.12,8450,316.0437439
40,40,1300,40,10,40,100,11.49777238,15.1,51.12,8450,632.0874879
10,10,400,40,40,10,100,10.14941822,11.5,48.96,800,107.9278122
10,20,400,40,40,10,100,10.14941822,4.1,48.96,800,215.8556245
10,40,400,40,40,10,100,10.14941822,6.8,48.96,800,431.711249
20,10,400,40,40,10,100,10.14941822,12.2,48.96,800,107.9278122
20,20,400,40,40,10,100,10.14941822,5.5,48.96,800,215.8556245
20,40,400,40,40,10,100,10.14941822,8.2,48.96,800,431.711249
40,10,400,40,40,10,100,10.14941822,13.6,48.96,800,107.9278122
40,20,400,40,40,10,100,10.14941822,3.4,48.96,800,215.8556245
40,40,400,40,40,10,100,10.14941822,6.1,48.96,800,431.711249
10,10,700,40,40,10,100,12.10304818,6.4,48.96,2450,133.1132375
10,20,700,40,40,10,100,12.10304818,9.6,48.96,2450,266.2264751
