x0=0mm,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],k,L1[nH],L2[nH],Bleak [T],PrimaryWinding[m3],PrimaryWinding[cm3],PrimaryCore[m3],PrimaryCore[cm3],x0=100mm,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],k,L1[nH],L2[nH],Bleak[T],PrimaryWinding[m3],PrimaryWinding[cm3],PrimaryCore[m3],PrimaryCore[cm3],w[rad/s],kdiff[%],P_0mm[W],P_100mm[W],Pout[W],Bleak[uT]
27,27.21358681,29.90310287,950.3466797,52.92800522,65.37540436,33.35045242,391.5535278,0.307344041,32306.8434,30742.04651,1.45E-05,9.34E-05,9.34E+01,0.004515794,4515.794058,27,27.21358681,29.90310287,950.3466797,52.92800522,65.37540436,33.35045242,391.5535278,0.276693303,32721.81443,30739.88341,2.20E-05,9.34E-05,9.34E+01,0.004515794,4515.794058,534070.7511,9.972777703,4209.584996,3813.899802,3813.899802,220.21480772
60,27.35601997,35.80530548,1063.67395,18.08366966,76.10406494,75.83525848,539.2023315,0.244164421,43568.12246,30944.27386,2.47E-05,0.000117891,1.18E+02,0.005657011,5657.01136,60,27.35601997,35.80530548,1063.67395,18.08366966,76.10406494,75.83525848,539.2023315,0.234946722,43822.15491,30911.31057,4.13E-05,0.000117891,1.18E+02,0.005657011,5657.01136,534070.7511,3.775201635,4689.818542,4523.494357,4523.494357,412.65769545
24,27.49037933,32.42107391,1053.329834,70.4023819,61.79797745,27.66174126,350.1879883,0.316016904,30727.57999,30865.1658,1.49E-05,8.95E-05,8.95E+01,0.005547519,5547.518696,24,27.49037933,32.42107391,1053.329834,70.4023819,61.79797745,27.66174126,350.1879883,0.282887288,31080.46651,30836.92912,2.28E-05,8.95E-05,8.95E+01,0.005547519,5547.518696,534070.7511,10.48349508,4632.50315,4168.690765,4168.690765,227.73698806
29,27.76677704,22.88984299,937.2748413,38.01818848,59.21229553,60.36070633,412.4273987,0.294157771,33841.79764,30798.36607,1.53E-05,9.82E-05,9.82E+01,0.004392421,4392.420641,29,27.76677704,22.88984299,937.2748413,38.01818848,59.21229553,60.36070633,412.4273987,0.269980129,34189.80903,30776.6807,2.33E-05,9.82E-05,9.82E+01,0.004392421,4392.420641,534070.7511,8.219276958,3223.576318,2972.748084,2972.748084,233.34795445
93,28.28247452,34.13458633,1058.651245,70.98069763,75.84881592,57.69413757,530.6363525,0.23762979,41760.05512,31015.32535,2.88E-05,0.000124128,1.24E+02,0.005603712,5603.712293,93,28.28247452,34.13458633,1058.651245,70.98069763,75.84881592,57.69413757,530.6363525,0.229562757,41952.93785,30992.5976,4.80E-05,0.000124128,1.24E+02,0.005603712,5603.712293,534070.7511,3.394790301,4409.409459,4267.980759,4267.980759,480.48566952
16,28.62023354,23.17443275,1063.183472,54.44566345,75.93511963,21.3478775,338.5076904,0.317011412,29027.06302,30884.44558,1.36E-05,8.51E-05,8.51E+01,0.005651795,5651.795476,16,28.62023354,23.17443275,1063.183472,54.44566345,75.93511963,21.3478775,338.5076904,0.282398044,29366.25934,30838.53314,2.05E-05,8.51E-05,8.51E+01,0.005651795,5651.795476,534070.7511,10.91865035,3362.230079,3010.328816,3010.328816,204.65520894
52,28.71979523,30.09790802,1055.706543,73.46076965,62.98225403,37.33651733,431.4108582,0.290762703,36444.81041,30931.48392,1.95E-05,0.000104125,1.04E+02,0.005572582,5572.581525,52,28.71979523,30.09790802,1055.706543,73.46076965,62.98225403,37.33651733,431.4108582,0.268732735,36829.17434,30923.97499,3.19E-05,0.000104125,1.04E+02,0.005572582,5572.581525,534070.7511,7.576614002,4506.852726,4186.785045,4186.785045,319.24699303
40,28.83492851,26.76312256,918.8181152,52.69255066,60.2763443,55.21649551,407.574707,0.29238977,33471.93378,30786.86014,1.63E-05,9.97E-05,9.97E+01,0.004221134,4221.133644,40,28.83492851,26.76312256,918.8181152,52.69255066,60.2763443,55.21649551,407.574707,0.268234685,33827.58253,30762.16972,2.52E-05,9.97E-05,9.97E+01,0.004221134,4221.133644,534070.7511,8.261262155,3868.474436,3566.262886,3566.262886,251.57064081
30,28.94276237,27.76799393,1025.090454,49.12496185,61.78563309,42.43616104,414.653656,0.302672618,34292.18185,30880.84416,1.67E-05,9.74E-05,9.74E+01,0.005254052,5254.052194,30,28.94276237,27.76799393,1025.090454,49.12496185,61.78563309,42.43616104,414.653656,0.276422587,34670.69707,30847.52493,2.59E-05,9.74E-05,9.74E+01,0.005254052,5254.052194,534070.7511,8.672747427,4227.645401,3880.147667,3880.147667,259.21263775
8,29.00161934,15.44733238,1063.647095,34.27874374,76.09424591,18.23298073,351.1288757,0.316575317,28967.29404,30907.78477,1.12E-05,8.19E-05,8.19E+01,0.005656726,5656.725714,8,29.00161934,15.44733238,1063.647095,34.27874374,76.09424591,18.23298073,351.1288757,0.279266216,29296.45635,30886.09733,1.76E-05,8.19E-05,8.19E+01,0.005656726,5656.725714,534070.7511,11.7852212,2266.415271,2009.934929,2009.934929,176.36589852
